Date,Open,High,Low,Close,Volume,Adj Close
1994/5/23,30.999999,31.250001,29.999999,30.5,29988000,0.992395
1994/5/20,31.749999,32.25,30.999999,31.0625,24536400,1.010697
1994/5/19,30.75,32.5,30.5,32.125001,68395600,1.045268
1994/5/18,29.75,30.75,29.249999,30.625,30965200,0.996462
1994/5/17,29.75,29.75,28.75,29.375001,45026800,0.95579
1994/5/16,29.999999,30.5,29.500001,29.500001,33846400,0.959857
1994/5/13,29.75,30.5,29.249999,29.999999,23153200,0.976126
1994/5/12,30.5,30.75,29.500001,29.687499,26776400,0.965958
1994/5/11,30.999999,31.5,29.75,30.250001,36380400,0.98426
1994/5/10,31.749999,32.000001,30.999999,30.999999,36710800,1.008663
1994/5/9,32.25,32.5,30.75,31.250001,35117600,1.016798
1994/5/6,32.25,32.749999,31.250001,32.312499,46944800,1.051369
1994/5/5,33.25,33.750001,32.25,32.875001,72083200,1.069671
1994/5/4,30.999999,33.25,30.5,33.000001,91039200,1.073739
1994/5/3,30.999999,31.250001,29.500001,30.250001,33224800,0.98426
1994/5/2,29.999999,31.250001,29.999999,30.999999,30805600,1.008663
1994/4/29,29.999999,30.5,29.75,29.999999,23696400,0.976126
1994/4/28,30.999999,31.250001,29.75,30.250001,25118800,0.98426
1994/4/26,31.5,31.5,30.999999,31.250001,41056400,1.016798
1994/4/25,29.75,30.999999,29.500001,30.999999,89810000,1.008663
1994/4/22,31.250001,32.000001,28.500001,29.75,174456800,0.967992
1994/4/21,28.500001,30.5,27,29.625,102634000,0.963924
1994/4/20,29.249999,29.999999,28,28.249999,70462000,0.919185
1994/4/19,29.75,29.999999,28.500001,29,41563200,0.943588
1994/4/18,30.5,30.5,29.249999,29.625,57573600,0.963924
1994/4/15,31.250001,31.5,29.999999,30.250001,47087600,0.98426
1994/4/14,30.5,31.749999,29.999999,31.5,55498800,1.024932
1994/4/13,32.25,32.5,31.250001,31.749999,58284800,1.033067
1994/4/12,33.375,33.375,31.749999,32.000001,34207600,1.041201
1994/4/11,33.499999,33.499999,32.5,33.499999,26706400,1.090007
1994/4/8,33.750001,34,33.25,33.499999,44212000,1.090007
1994/4/7,33.499999,33.750001,32.749999,33.375,19342400,1.08594
1994/4/6,34,34,32.749999,33.499999,32272800,1.090007
1994/4/5,33.750001,34.25,33.499999,33.499999,24474800,1.090007
1994/4/4,32.25,33.25,31.749999,33.25,42075600,1.081873
1994/3/31,32.5,33.499999,31.5,33.25,52264800,1.081873
1994/3/30,32.5,33.25,31.749999,32.5,42456400,1.05747
1994/3/29,33.25,33.750001,32.25,32.749999,53379200,1.065604
1994/3/28,33.000001,34,32.749999,33.25,70644000,1.081873
1994/3/25,34.750001,34.750001,32.749999,32.749999,85909600,1.065604
1994/3/24,35.125,35.249999,34,34.625001,47023200,1.126612
1994/3/23,35.249999,35.500001,34.25,35.125,54171600,1.142881
1994/3/22,35.249999,35.500001,34.499999,35,60706800,1.138814
1994/3/21,36.375001,36.500001,35.249999,35.500001,61628000,1.155082
1994/3/18,36.75,36.75,35.75,36.375001,55918800,1.183553
1994/3/17,36.75,36.999999,36.249999,36.500001,39057200,1.18762
1994/3/16,37.5,37.75,36.500001,36.75,36792000,1.195754
1994/3/15,38.250001,38.250001,37.250001,37.625,51136400,1.224225
1994/3/14,38.5,38.5,37.75,38.125001,110426400,1.240493
1994/3/11,36.999999,37.75,36.75,37.250001,40460000,1.212023
1994/3/10,37.250001,37.625,36.75,37.250001,35940800,1.212023
1994/3/9,36.625,37.5,36,37.5,62134800,1.220157
1994/3/8,37.999999,37.999999,36.75,36.999999,46513600,1.203889
1994/3/7,36.999999,38.125001,36.75,37.874999,77599200,1.232359
1994/3/4,36,37.5,35.75,36.75,56711200,1.195754
1994/3/3,35.75,36.249999,35.500001,35.75,47118400,1.163217
1994/3/2,35.249999,36.249999,34.750001,35.625001,73536400,1.15915
1994/3/1,36.75,36.75,35.75,36.249999,52967600,1.179486
1994/2/28,36.249999,36.999999,36,36.500001,30956800,1.18762
1994/2/25,36.999999,37.250001,35.500001,36,59206000,1.171351
1994/2/24,36.999999,37.250001,36.249999,36.625,49464800,1.191687
1994/2/23,37.250001,38.250001,36.999999,37.250001,65133600,1.212023
1994/2/22,36.249999,37.5,35.75,37.250001,53642400,1.212023
1994/2/18,36.500001,36.999999,36.249999,36.249999,37268000,1.179486
1994/2/17,37.250001,37.874999,36.249999,36.999999,36288000,1.203889
1994/2/16,37.5,37.5,36.75,36.75,30506000,1.195754
1994/2/15,36.75,37.5,36.249999,37.124999,32443600,1.207956
1994/2/14,36.999999,37.999999,36.75,36.999999,61387200,1.203889
1994/2/11,36.249999,37.5,36.249999,36.999999,41062000,1.203889
1994/2/10,36.249999,37.5,36,36.500001,75507600,1.18762
1994/2/9,35.75,36.500001,35.249999,36.249999,46746000,1.179486
1994/2/8,36,36.500001,35.249999,35.75,71346800,1.163217
1994/2/7,33.499999,37.124999,33.499999,36.500001,181361600,1.18762
1994/2/4,33.499999,35,33.25,33.499999,88502400,1.086099
1994/2/3,33.000001,33.624999,32.5,33.499999,34498800,1.086099
1994/2/2,33.25,33.25,32.5,33.000001,36612800,1.069889
1994/2/1,33.000001,33.499999,32.25,33.25,39180400,1.077994
1994/1/31,33.499999,33.750001,32.749999,32.749999,59595200,1.061783
1994/1/28,34.25,34.750001,33.750001,34,34109600,1.102309
1994/1/27,33.499999,34.25,33.000001,34.125,33062400,1.106362
1994/1/26,33.750001,34,33.25,33.499999,41451200,1.086099
1994/1/25,34.750001,35,33.25,33.875001,110583200,1.098257
1994/1/24,33.25,35.249999,33.25,35,173037200,1.13473
